Model,US Dataset,Training Dataset,Sn (%),Sp (%),ACC (%),F1,MCC,AUROC
Inception-v3,real_swe_test,Real SWE,75.38,98.46,86.92,0.8522,0.7589,0.9382
Inception-v3,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.01,89.23,92.31,90.77,0.9062,0.8158,0.9631
Inception-v3,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.03,81.54,98.46,90.0,0.8908,0.8117,0.9794
Inception-v3,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.05,64.62,100.0,82.31,0.785,0.6908,0.9673
Inception-v3,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.07,61.54,100.0,80.77,0.7619,0.6667,0.9744
Inception-v3,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.09,81.54,96.92,89.23,0.8833,0.7941,0.9827
Inception-v3,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.01,76.92,98.46,87.69,0.8621,0.772,0.9863
Inception-v3,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.03,76.92,96.92,86.92,0.8547,0.7537,0.9538
Inception-v3,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.05,86.15,90.77,88.46,0.8819,0.7701,0.9704
Inception-v3,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.07,84.62,96.92,90.77,0.9016,0.8216,0.9858
Inception-v3,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.09,92.31,89.23,90.77,0.9091,0.8158,0.9699
Inception-v3,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.01,70.77,98.46,84.62,0.8214,0.7205,0.9676
Inception-v3,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.03,81.54,95.38,88.46,0.876,0.7767,0.9647
Inception-v3,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.05,81.54,92.31,86.92,0.8618,0.7428,0.9512
