Model,US Dataset,Training Dataset,Sn (%),Sp (%),ACC (%),F1,MCC,AUROC
Inception-v3,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.07,81.54,96.92,89.23,0.8833,0.7941,0.9688
Inception-v3,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.09,72.31,100.0,86.15,0.8393,0.7525,0.9787
ResNet-152,real_swe_test,Real SWE,90.77,93.85,92.31,0.9219,0.8466,0.9787
ResNet-152,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.01,90.77,95.38,93.08,0.9291,0.8625,0.9813
ResNet-152,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.03,93.85,95.38,94.62,0.9457,0.8924,0.9834
ResNet-152,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.05,95.38,93.85,94.62,0.9466,0.8924,0.9867
ResNet-152,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.07,89.23,92.31,90.77,0.9062,0.8158,0.9844
ResNet-152,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.09,96.92,93.85,95.38,0.9545,0.9081,0.9905
ResNet-152,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.01,86.15,93.85,90.0,0.896,0.8024,0.9785
ResNet-152,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.03,92.31,95.38,93.85,0.9375,0.8773,0.9834
ResNet-152,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.05,89.23,96.92,93.08,0.928,0.8641,0.9822
ResNet-152,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.07,92.31,93.85,93.08,0.9302,0.8616,0.9749
ResNet-152,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.09,90.77,96.92,93.85,0.9365,0.8786,0.9924
ResNet-152,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.01,90.77,95.38,93.08,0.9291,0.8625,0.9813
ResNet-152,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.03,90.77,95.38,93.08,0.9291,0.8625,0.9813
ResNet-152,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.05,93.85,95.38,94.62,0.9457,0.8924,0.9834
ResNet-152,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.07,95.38,93.85,94.62,0.9466,0.8924,0.9867
ResNet-152,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.09,89.23,92.31,90.77,0.9062,0.8158,0.9844
VGG-16,real_swe_test,Real SWE,96.92,95.38,96.15,0.9618,0.9232,0.9873
VGG-16,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.01,96.92,96.92,96.92,0.9692,0.9385,0.9962
VGG-16,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.03,89.23,93.85,91.54,0.9134,0.8317,0.9763
VGG-16,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.05,95.38,90.77,93.08,0.9323,0.8625,0.9886
VGG-16,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.07,96.92,86.15,91.54,0.9197,0.8356,0.9828
VGG-16,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.09,87.69,96.92,92.31,0.9194,0.8498,0.9515
VGG-16,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.01,95.38,96.92,96.15,0.9612,0.9232,0.9941
VGG-16,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.03,93.85,92.31,93.08,0.9313,0.8616,0.9679
VGG-16,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.05,93.85,95.38,94.62,0.9457,0.8924,0.9893
VGG-16,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.07,98.46,90.77,94.62,0.9481,0.895,0.9938
VGG-16,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.09,90.77,95.38,93.08,0.9291,0.8625,0.9936
VGG-16,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.01,93.85,93.85,93.85,0.9385,0.8769,0.973
VGG-16,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.03,93.85,95.38,94.62,0.9457,0.8924,0.9891
VGG-16,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.05,95.38,95.38,95.38,0.9538,0.9077,0.9936
VGG-16,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.07,100.0,92.31,96.15,0.963,0.9258,0.9948
VGG-16,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.09,98.46,86.15,92.31,0.9275,0.8526,0.9927
