Model,US Dataset,Training Dataset,Sn (%),Sp (%),ACC (%),F1,MCC,AUROC
Inception-v3,real_swe_test,Real SWE,73.85,98.46,86.15,0.8421,0.746,0.9654
Inception-v3,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.01,83.08,96.92,90.0,0.8926,0.8078,0.9669
Inception-v3,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.03,73.85,98.46,86.15,0.8421,0.746,0.9775
Inception-v3,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.05,76.92,100.0,88.46,0.8696,0.7906,0.9756
Inception-v3,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.07,73.85,96.92,85.38,0.8348,0.7273,0.9849
Inception-v3,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.09,73.85,96.92,85.38,0.8348,0.7273,0.9702
Inception-v3,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.01,70.77,96.92,83.85,0.8142,0.7013,0.9768
Inception-v3,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.03,83.08,100.0,91.54,0.9076,0.8429,0.9576
Inception-v3,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.05,73.85,100.0,86.92,0.8496,0.7651,0.9688
Inception-v3,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.07,80.0,98.46,89.23,0.8814,0.7983,0.9562
Inception-v3,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.09,83.08,98.46,90.77,0.9,0.8252,0.9735
Inception-v3,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.01,80.0,98.46,89.23,0.8814,0.7983,0.977
Inception-v3,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.03,81.54,96.92,89.23,0.8833,0.7941,0.9837
Inception-v3,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.05,80.0,98.46,89.23,0.8814,0.7983,0.9785
Inception-v3,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.07,75.38,98.46,86.92,0.8522,0.7589,0.965
Inception-v3,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.09,84.62,96.92,90.77,0.9016,0.8216,0.9609
ResNet-152,real_swe_test,Real SWE,90.77,96.92,93.85,0.9365,0.8786,0.9766
ResNet-152,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.01,92.31,95.38,93.85,0.9375,0.8773,0.9806
ResNet-152,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.03,90.77,95.38,93.08,0.9291,0.8625,0.9889
ResNet-152,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.05,89.23,93.85,91.54,0.9134,0.8317,0.986
ResNet-152,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.07,95.38,90.77,93.08,0.9323,0.8625,0.9827
ResNet-152,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.09,95.38,90.77,93.08,0.9323,0.8625,0.987
ResNet-152,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.01,89.23,95.38,92.31,0.9206,0.8478,0.9884
ResNet-152,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.03,95.38,92.31,93.85,0.9394,0.8773,0.9875
ResNet-152,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.05,87.69,96.92,92.31,0.9194,0.8498,0.9841
ResNet-152,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.07,90.77,95.38,93.08,0.9291,0.8625,0.982
ResNet-152,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.09,90.77,93.85,92.31,0.9219,0.8466,0.9851
ResNet-152,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.01,90.77,95.38,93.08,0.9291,0.8625,0.9811
ResNet-152,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.03,93.85,95.38,94.62,0.9457,0.8924,0.9901
ResNet-152,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.05,81.54,96.92,89.23,0.8833,0.7941,0.9841
ResNet-152,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.07,90.77,95.38,93.08,0.9291,0.8625,0.9853
ResNet-152,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.09,89.23,95.38,92.31,0.9206,0.8478,0.987
VGG-16,real_swe_test,Real SWE,96.92,93.85,95.38,0.9545,0.9081,0.9878
VGG-16,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.01,96.92,92.31,94.62,0.9474,0.8933,0.9934
VGG-16,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.03,98.46,93.85,96.15,0.9624,0.9241,0.9858
VGG-16,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.05,98.46,89.23,93.85,0.9412,0.8807,0.9866
VGG-16,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.07,92.31,98.46,95.38,0.9524,0.9094,0.992
VGG-16,BLUSG,Real SWE+MDHI_dispersive_upto_8_w0.09,89.23,96.92,93.08,0.928,0.8641,0.9917
VGG-16,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.01,98.46,89.23,93.85,0.9412,0.8807,0.9929
VGG-16,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.03,96.92,93.85,95.38,0.9545,0.9081,0.9927
VGG-16,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.05,100.0,89.23,94.62,0.9489,0.8975,0.9948
VGG-16,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.07,86.15,100.0,93.08,0.9256,0.8699,0.9825
VGG-16,BUSBRA,Real SWE+MDHI_dispersive_upto_8_w0.09,95.38,95.38,95.38,0.9538,0.9077,0.995
VGG-16,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.01,90.77,93.85,92.31,0.9219,0.8466,0.9806
VGG-16,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.03,81.54,100.0,90.77,0.8983,0.8296,0.9877
VGG-16,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.05,95.38,95.38,95.38,0.9538,0.9077,0.9827
VGG-16,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.07,93.85,90.77,92.31,0.9242,0.8466,0.9886
VGG-16,BUSI,Real SWE+MDHI_dispersive_upto_8_w0.09,100.0,83.08,91.54,0.922,0.8429,0.9938
