epoch,global_step,step,train/loss_epoch,train/loss_simple_epoch,train/loss_simple_step,train/loss_step,train/loss_vlb_epoch,train/loss_vlb_step
0,,17,0.21223878860473633,0.21223878860473633,,,0.002779357833787799,
1,,35,0.19220054149627686,0.19220054149627686,,,0.003332310589030385,
2,49.0,49,,,0.20729053020477295,0.20729053020477295,,0.002600685693323612
2,,53,0.19901606440544128,0.19901606440544128,,,0.004712960682809353,
3,,71,0.18702466785907745,0.18702466785907745,,,0.0022503514774143696,
4,,89,0.18136395514011383,0.18136395514011383,,,0.0038208423648029566,
5,99.0,99,,,0.16158540546894073,0.16158540546894073,,0.0007610659813508391
5,,107,0.17150647938251495,0.17150647938251495,,,0.0013877154560759664,
6,,125,0.20260672271251678,0.20260672271251678,,,0.004835653584450483,
7,,143,0.17293614149093628,0.17293614149093628,,,0.001939753070473671,
8,149.0,149,,,0.15413600206375122,0.15413600206375122,,0.0009481097804382443
8,,161,0.1608867198228836,0.1608867198228836,,,0.002137082861736417,
9,,179,0.17172829806804657,0.17172829806804657,,,0.0013342127203941345,
10,,197,0.17859327793121338,0.17859327793121338,,,0.005039816256612539,
11,199.0,199,,,0.15015704929828644,0.15015704929828644,,0.0014758292818441987
11,,215,0.1779007911682129,0.1779007911682129,,,0.004434665199369192,
12,,233,0.1774764209985733,0.1774764209985733,,,0.003488705260679126,
13,249.0,249,,,0.23875032365322113,0.23875032365322113,,0.0012452303199097514
13,,251,0.1681189090013504,0.1681189090013504,,,0.002105686580762267,
14,,269,0.1823749989271164,0.1823749989271164,,,0.0022817086428403854,
15,,287,0.17378412187099457,0.17378412187099457,,,0.0024833695497363806,
16,299.0,299,,,0.17806927859783173,0.17806927859783173,,0.010115374810993671
16,,305,0.18548870086669922,0.18548870086669922,,,0.0042140609584748745,
17,,323,0.1635797768831253,0.1635797768831253,,,0.0018897337140515447,
18,,341,0.17303933203220367,0.17303933203220367,,,0.004561619833111763,
19,349.0,349,,,0.1484348624944687,0.1484348624944687,,0.0007492064032703638
19,,359,0.16564999520778656,0.16564999520778656,,,0.0040933541022241116,
20,,377,0.16223371028900146,0.16223371028900146,,,0.002211597515270114,
21,,395,0.15976892411708832,0.15976892411708832,,,0.002858365885913372,
22,399.0,399,,,0.2478090077638626,0.2478090077638626,,0.03343069180846214
22,,413,0.18747848272323608,0.18747848272323608,,,0.005645086523145437,
23,,431,0.1642390936613083,0.1642390936613083,,,0.002005093265324831,
24,449.0,449,,,0.0745524987578392,0.0745524987578392,,0.00031781691359356046
24,,449,0.17166583240032196,0.17166583240032196,,,0.0021692775189876556,
25,,467,0.14941589534282684,0.14941589534282684,,,0.003365047974511981,
26,,485,0.15365222096443176,0.15365222096443176,,,0.0030672308057546616,
27,499.0,499,,,0.21076297760009766,0.21076297760009766,,0.0021310984157025814
27,,503,0.15863405168056488,0.15863405168056488,,,0.00334556819871068,
28,,521,0.1491171419620514,0.1491171419620514,,,0.002073670970275998,
29,,539,0.1606036126613617,0.1606036126613617,,,0.0030530067160725594,
30,549.0,549,,,0.1285003423690796,0.1285003423690796,,0.0006342841661535203
30,,557,0.16015426814556122,0.16015426814556122,,,0.002395209390670061,
31,,575,0.1599365621805191,0.1599365621805191,,,0.0028922855854034424,
32,,593,0.15015339851379395,0.15015339851379395,,,0.002786543918773532,
33,599.0,599,,,0.16791053116321564,0.16791053116321564,,0.0038872119039297104
33,,611,0.14307771623134613,0.14307771623134613,,,0.002314790850505233,
34,,629,0.15038830041885376,0.15038830041885376,,,0.0018650534329935908,
35,,647,0.14316187798976898,0.14316187798976898,,,0.0024177127052098513,
36,649.0,649,,,0.09067559987306595,0.09067559987306595,,0.00035990841570310295
36,,665,0.15732012689113617,0.15732012689113617,,,0.005791776347905397,
37,,683,0.14624559879302979,0.14624559879302979,,,0.0044674742966890335,
38,699.0,699,,,0.271173357963562,0.271173357963562,,0.03365211561322212
38,,701,0.16958501935005188,0.16958501935005188,,,0.003028461243957281,
39,,719,0.16132774949073792,0.16132774949073792,,,0.003969327546656132,
40,,737,0.15790429711341858,0.15790429711341858,,,0.003466022666543722,
41,749.0,749,,,0.1167539656162262,0.1167539656162262,,0.0006170497508719563
41,,755,0.1549607664346695,0.1549607664346695,,,0.0016884811921045184,
42,,773,0.14413043856620789,0.14413043856620789,,,0.003094263141974807,
43,,791,0.15657052397727966,0.15657052397727966,,,0.002872783225029707,
